participant_code,participant_age,participant_gender,participant_education,participant_tech_adaptation,participant_speaking_anxiety,assigned_condition,trial_index,condition,prompt_id,prompt_text,suds_pre,suds_post,delta_suds,recording_duration_sec,rerecord_count,review_time_sec,audio_played,text_only_used,tabs_visited,felt_in_control,helpful,word_count,filler_count,wpm,started_at,finished_at
S N,19,male,bachelors,7,4,experiment,1,experiment,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,39,43,4,41.06,0,17.17,FALSE,FALSE,"[""stats""]",2,6,71,0,,2026-01-09T13:57:01.164Z,2026-01-09T13:58:17.315Z
S N,19,male,bachelors,7,4,experiment,2,experiment,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",31,41,10,25.43,0,2.27,FALSE,FALSE,[],1,7,40,4,,2026-01-09T13:58:30.585Z,2026-01-09T13:59:09.153Z
S N,19,male,bachelors,7,4,experiment,3,experiment,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,36,26,-10,37.85,0,4.56,FALSE,FALSE,"[""stats""]",1,7,70,2,,2026-01-09T13:59:18.799Z,2026-01-09T14:00:10.193Z
S N,19,male,bachelors,7,4,experiment,4,experiment,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,30,50,20,32.79,0,1.97,FALSE,FALSE,[],1,7,59,1,,2026-01-09T14:00:22.309Z,2026-01-09T14:01:04.630Z
I GU,19,male,bachelors,5,5,control,0,control,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,30,30,0,23.05,0,27.67,TRUE,FALSE,[],7,5,,,,2026-01-09T15:01:15.825Z,2026-01-09T15:02:48.909Z
I GU,19,male,bachelors,5,5,control,1,control,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,30,30,0,24.16,0,27.58,TRUE,FALSE,[],5,5,,,,2026-01-09T15:03:18.072Z,2026-01-09T15:04:28.308Z
I GU,19,male,bachelors,5,5,control,2,control,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",18,10,-8,35.61,0,18.94,TRUE,FALSE,[],6,6,,,,2026-01-09T15:05:14.520Z,2026-01-09T15:06:33.480Z
I GU,19,male,bachelors,5,5,control,3,control,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,9,5,-4,31.12,0,2.91,FALSE,FALSE,[],7,6,,,,2026-01-09T15:06:46.968Z,2026-01-09T15:07:36.696Z
I GU,19,male,bachelors,5,5,control,4,control,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,8,10,2,27.25,0,2.15,FALSE,FALSE,[],6,6,,,,2026-01-09T15:08:23.763Z,2026-01-09T15:09:03.373Z
H S,26,male,masters,6,3,control,0,control,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,13,23,10,49.05,0,5.67,FALSE,FALSE,[],5,5,,,,2026-01-09T15:10:50.660Z,2026-01-09T15:12:38.435Z
H S,26,male,masters,6,3,control,1,control,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,16,20,4,64.32,0,1.53,FALSE,FALSE,[],7,7,,,,2026-01-09T15:13:08.612Z,2026-01-09T15:14:32.757Z
H S,26,male,masters,6,3,control,2,control,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,17,8,-9,26.55,0,11.78,TRUE,FALSE,[],7,3,,,,2026-01-09T15:15:10.614Z,2026-01-09T15:16:10.471Z
H S,26,male,masters,6,3,control,3,control,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",13,27,14,58.96,0,25.51,TRUE,FALSE,[],7,4,,,,2026-01-09T15:16:26.192Z,2026-01-09T15:18:12.341Z
H S,26,male,masters,6,3,control,4,control,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,19,44,25,113.86,0,32.05,TRUE,FALSE,[],5,5,,,,2026-01-09T15:18:26.731Z,2026-01-09T15:21:46.247Z
M E,18,male,bachelors,4,3,experiment,0,experiment,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",70,40,-30,41.54,0,50.28,FALSE,FALSE,"[""coach""]",7,6,75,4,,2026-01-09T15:25:21.222Z,2026-01-09T15:27:46.875Z
M E,18,male,bachelors,4,3,experiment,1,experiment,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,60,34,-26,29.04,0,18.08,FALSE,FALSE,"[""coach""]",5,7,62,5,,2026-01-09T15:28:30.964Z,2026-01-09T15:29:33.725Z
M E,18,male,bachelors,4,3,experiment,2,experiment,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,59,36,-23,29.76,0,10.41,FALSE,FALSE,"[""coach""]",5,5,77,5,,2026-01-09T15:29:45.178Z,2026-01-09T15:30:41.482Z
M E,18,male,bachelors,4,3,experiment,3,experiment,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,56,39,-17,30.71,0,6.01,FALSE,FALSE,"[""coach""]",6,7,67,1,,2026-01-09T15:30:52.970Z,2026-01-09T15:31:39.521Z
M E,18,male,bachelors,4,3,experiment,4,experiment,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,34,30,-4,25.54,0,10.49,FALSE,FALSE,"[""coach""]",7,6,66,4,,2026-01-09T15:31:49.965Z,2026-01-09T15:32:34.275Z
S I,21,female,bachelors,7,2,experiment,0,experiment,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,0,0,0,33.31,1,9.01,FALSE,FALSE,[],5,7,64,1,317.6,2026-01-09T15:56:39.787Z,2026-01-09T15:58:23.391Z
S I,21,female,bachelors,7,2,experiment,1,experiment,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",0,0,0,31.96,1,4.17,FALSE,FALSE,[],6,7,64,3,121,2026-01-09T15:58:42.992Z,2026-01-09T16:00:20.512Z
S I,21,female,bachelors,7,2,experiment,2,experiment,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,0,0,0,36.14,0,4.12,FALSE,FALSE,[],7,7,62,1,,2026-01-09T16:00:26.852Z,2026-01-09T16:01:19.025Z
S I,21,female,bachelors,7,2,experiment,3,experiment,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,0,0,0,20.1,0,2.31,FALSE,FALSE,[],7,7,38,0,,2026-01-09T16:01:27.173Z,2026-01-09T16:02:00.028Z
S I,21,female,bachelors,7,2,experiment,4,experiment,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,0,0,0,29.21,0,2.66,FALSE,FALSE,[],7,7,67,0,,2026-01-09T16:02:13.429Z,2026-01-09T16:02:54.573Z
R T,19,male,bachelors,7,1,control,0,control,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,0,0,0,17.91,1,0.66,FALSE,FALSE,[],7,6,,,,2026-01-09T16:04:42.454Z,2026-01-09T16:05:41.196Z
R T,19,male,bachelors,7,1,control,1,control,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",0,0,0,20.61,0,0.71,FALSE,FALSE,[],7,7,,,,2026-01-09T16:05:49.067Z,2026-01-09T16:06:28.614Z
R T,19,male,bachelors,7,1,control,2,control,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,0,0,0,11.64,0,0.55,FALSE,FALSE,[],7,7,,,,2026-01-09T16:06:35.915Z,2026-01-09T16:06:55.794Z
R T,19,male,bachelors,7,1,control,3,control,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,0,0,0,43.66,0,0.71,FALSE,FALSE,[],7,7,,,,2026-01-09T16:07:07.092Z,2026-01-09T16:08:00.922Z
R T,19,male,bachelors,7,1,control,4,control,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,0,0,0,17.85,0,0.83,FALSE,FALSE,[],7,7,,,,2026-01-09T16:08:19.538Z,2026-01-09T16:08:49.556Z
G G,28,male,doctorate,7,4,control,0,control,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,68,55,-13,26.66,0,31.07,TRUE,FALSE,[],4,3,,,,2026-01-09T16:11:44.322Z,2026-01-09T16:13:53.445Z
G G,28,male,doctorate,7,4,control,1,control,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,79,65,-14,28.04,0,14.1,TRUE,FALSE,[],3,3,,,,2026-01-09T16:15:13.928Z,2026-01-09T16:16:35.693Z
G G,28,male,doctorate,7,4,control,2,control,prompt_5,"Share your thoughts on a recent book, movie, or experience that made an impact on you.",50,37,-13,32.7,0,3.51,FALSE,FALSE,[],3,2,,,,2026-01-09T16:16:58.614Z,2026-01-09T16:17:50.916Z
G G,28,male,doctorate,7,4,control,3,control,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,42,34,-8,27.92,0,1.26,FALSE,FALSE,[],2,3,,,,2026-01-09T16:18:12.371Z,2026-01-09T16:18:52.774Z
G G,28,male,doctorate,7,4,control,4,control,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,38,36,-2,44.67,0,2.46,FALSE,FALSE,[],2,3,,,,2026-01-09T16:19:04.425Z,2026-01-09T16:20:04.742Z
L H,22,female,bachelors,6,7,experiment,0,experiment,prompt_2,Explain a topic you're passionate about as if teaching it to someone new. Why does this topic interest you?,75,61,-14,40.9,1,52.53,FALSE,FALSE,"[""coach""]",2,6,86,2,321.2,2026-01-09T16:24:45.249Z,2026-01-09T16:27:19.814Z
L H,22,female,bachelors,6,7,experiment,1,experiment,prompt_1,Describe a time when you overcame a challenge at work or school. What did you learn from that experience?,68,56,-12,43.63,0,17.87,FALSE,FALSE,"[""coach""]",1,7,93,2,,2026-01-09T16:27:44.517Z,2026-01-09T16:29:02.813Z
L H,22,female,bachelors,6,7,experiment,2,experiment,prompt_6,Imagine you're introducing yourself to a new team. What would you want them to know about you?,56,99,43,20.91,0,24.02,FALSE,FALSE,"[""coach""]",3,7,30,0,,2026-01-09T16:29:28.417Z,2026-01-09T16:30:34.514Z
L H,22,female,bachelors,6,7,experiment,3,experiment,prompt_3,Tell us about a goal you're working toward. What steps are you taking to achieve it?,86,43,-43,36.5,0,18.21,FALSE,FALSE,"[""coach""]",4,7,74,2,,2026-01-09T16:31:04.521Z,2026-01-09T16:32:19.522Z
L H,22,female,bachelors,6,7,experiment,4,experiment,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,50,34,-16,44.09,0,12.02,FALSE,FALSE,"[""coach""]",5,7,90,1,,2026-01-09T16:32:29.360Z,2026-01-09T16:33:35.919Z
G Y,26,male,masters,6,7,experiment,0,experiment,prompt_4,Describe a person who has influenced your life. What qualities do you admire in them?,61,28,-33,34.96,1,21.28,FALSE,FALSE,"[""coach""]",6,7,57,3,152.3,2026-01-09T17:50:58.811Z,2026-01-09T17:54:32.601Z
